supplier_name,payment_days,transaction_amount,discount_amount,other_charges,tax_amount,excise_amount,total_amount,month,year,source_file,company_gstin,period_date
UMAR DRAJ,0.0,286287.68400000007,0.0,0.0,0.0,0.0,286286.0,January,2022,january 2022.xls,09AAPFD1128D1ZN,2022-01-01
CASH,0.0,31180.0,0.0,0.0,0.0,0.0,31180.0,January,2022,january 2022.xls,09AAPFD1128D1ZN,2022-01-01
ANUPAM MARKETING,0.0,40950.0,0.0,0.0,0.0,0.0,40950.0,January,2022,january 2022.xls,09AAPFD1128D1ZN,2022-01-01
GAURANGEE ENTERPRICES,0.0,140205.24,0.0,3340.86,3340.86,0.0,146887.0,January,2022,january 2022.xls,09AAPFD1128D1ZN,2022-01-01
CLASSIC ENTERPRICES,0.0,17497.322,0.0,1574.7579999999998,1574.7579999999998,0.0,20646.0,January,2022,january 2022.xls,09AAPFD1128D1ZN,2022-01-01
AK DAIRY,0.0,519167.0,0.0,0.0,0.0,0.0,519173.0,January,2022,january 2022.xls,09AAPFD1128D1ZN,2022-01-01
NARANG INDUSTRY,0.0,5400.0,0.0,0.0,0.0,0.0,5400.0,January,2022,january 2022.xls,09AAPFD1128D1ZN,2022-01-01
NEELKANTH TRADERS,0.0,56525.64,0.0,5087.308,5087.308,0.0,66700.0,January,2022,january 2022.xls,09AAPFD1128D1ZN,2022-01-01
RAM KIRANA STORE,0.0,64045.0,0.0,0.0,0.0,0.0,64045.0,January,2022,january 2022.xls,09AAPFD1128D1ZN,2022-01-01
MOHAN GAS AGENCY,0.0,45762.72,0.0,4118.645,4118.645,0.0,54000.0,January,2022,january 2022.xls,09AAPFD1128D1ZN,2022-01-01
GUPTA KIRANA STORE,0.0,138174.5,0.0,1305.47,1305.47,0.0,140786.0,January,2022,january 2022.xls,09AAPFD1128D1ZN,2022-01-01
SUPEREXCEL MARKETING,0.0,54668.57600000001,0.0,10131.018,5730.443,0.0,70530.0,January,2022,january 2022.xls,09AAPFD1128D1ZN,2022-01-01
NSK TRADERS,0.0,59711.2,0.0,2000.28,2000.28,0.0,63712.0,January,2022,january 2022.xls,09AAPFD1128D1ZN,2022-01-01
VEDANT TRADERS,0.0,58548.818,0.0,2338.185,2338.185,0.0,63225.0,January,2022,january 2022.xls,09AAPFD1128D1ZN,2022-01-01
FROZN DEP,0.0,24211.165,0.0,1452.671,1452.671,0.0,27116.0,January,2022,january 2022.xls,09AAPFD1128D1ZN,2022-01-01
METRO CASH & CARRY,0.0,123301.48199999999,0.0,0.0,0.0,0.0,123301.0,January,2022,january 2022.xls,09AAPFD1128D1ZN,2022-01-01
RUHANIKA ENTERPRICES,0.0,22219.577999999998,0.0,1439.9560000000001,1439.9560000000001,0.0,25100.0,January,2022,january 2022.xls,09AAPFD1128D1ZN,2022-01-01
AVNI ENTERPRICES,0.0,13927.832000000002,0.0,1116.465,1116.465,0.0,16161.0,January,2022,january 2022.xls,09AAPFD1128D1ZN,2022-01-01
MITTAL TRADING CO.,0.0,26685.0,0.0,0.0,0.0,0.0,26685.0,January,2022,january 2022.xls,09AAPFD1128D1ZN,2022-01-01
MOHD HAROON,0.0,237253.0,0.0,0.0,0.0,0.0,237253.0,January,2022,january 2022.xls,09AAPFD1128D1ZN,2022-01-01
Walmart (Best Price),0.0,156811.25,0.0,0.0,0.0,0.0,156811.0,January,2022,january 2022.xls,09AAPFD1128D1ZN,2022-01-01
MUSA RAM AGGARWAL,0.0,83405.01,0.0,0.0,0.0,0.0,83405.0,January,2022,january 2022.xls,09AAPFD1128D1ZN,2022-01-01
HANZ ENTERPRICES,0.0,3550.0,0.0,0.0,0.0,0.0,3550.0,January,2022,january 2022.xls,09AAPFD1128D1ZN,2022-01-01
KROWN OVERSEAS,0.0,8464.0,0.0,0.0,0.0,0.0,8464.0,January,2022,january 2022.xls,09AAPFD1128D1ZN,2022-01-01
SUDHAKAR MUDRALYA,0.0,5875.0,0.0,0.0,0.0,0.0,5875.0,January,2022,january 2022.xls,09AAPFD1128D1ZN,2022-01-01
RAMDEEP CHAND STATIONARY,0.0,10772.0,0.0,0.0,0.0,0.0,10772.0,January,2022,january 2022.xls,09AAPFD1128D1ZN,2022-01-01
SIMRAN ENTERPRICES,0.0,12933.372000000001,0.0,832.29,832.29,0.0,14598.0,January,2022,january 2022.xls,09AAPFD1128D1ZN,2022-01-01
KS BEVERAGES,0.0,8900.0,0.0,0.0,0.0,0.0,8900.0,January,2022,january 2022.xls,09AAPFD1128D1ZN,2022-01-01
Amit Pratap Enterprises,0.0,24290.0,0.0,0.0,0.0,0.0,24290.0,January,2022,january 2022.xls,09AAPFD1128D1ZN,2022-01-01
BASANT CROCKERY HOUSE,0.0,11166.0,0.0,669.96,669.96,0.0,12506.0,January,2022,january 2022.xls,09AAPFD1128D1ZN,2022-01-01
